image,description,category,collection,sugested_price(€)
https://www.tradeinn.com/h/14018/140187032/quiksilver-break-7.0-softboard.jpg,quiksilver break 7.0 softboard,equipment,surfboard,389.99
https://www.tradeinn.com/h/14018/140187030/quiksilver-break-7.0-softboard.jpg,quiksilver break 7.0 softboard,equipment,surfboard,389.99
https://www.tradeinn.com/h/14018/140187035/quiksilver-break-8.0-softboard.jpg,quiksilver break 8.0 softboard,equipment,surfboard,406.99
https://www.tradeinn.com/h/14018/140187033/quiksilver-break-8.0-softboard.jpg,quiksilver break 8.0 softboard,equipment,surfboard,406.99
https://www.tradeinn.com/h/14018/140187034/quiksilver-break-8.0-softboard.jpg,quiksilver break 8.0 softboard,equipment,surfboard,406.99
https://www.tradeinn.com/h/13976/139767077/indio-endurance-the-egg-surfboard-68.jpg,indio endurance the egg surfboard 6´8,equipment,surfboard,504.49
https://www.tradeinn.com/h/13976/139767080/indio-endurance-the-egg-surfboard-710.jpg,indio endurance the egg surfboard 7´10,equipment,surfboard,547.99
https://www.tradeinn.com/h/13976/139767086/indio-endurance-the-egg-surfboard-76.jpg,indio endurance the egg surfboard 7´6,equipment,surfboard,544.99
https://www.tradeinn.com/h/13876/138765433/indio-trim-machine-91-surfboard.jpg,indio trim machine 9´1´´ surfboard,equipment,surfboard,669.49
https://www.tradeinn.com/h/13876/138765313/indio-big-fish-72-surfboard.jpg,indio big fish 7´2´´ surfboard,equipment,surfboard,466.99
https://www.tradeinn.com/h/13876/138765359/indio-log-machine-90-surfboard.jpg,indio log machine 9´0´´ surfboard,equipment,surfboard,669.99
https://www.tradeinn.com/h/13876/138765429/indio-the-egg-82-surfboard.jpg,indio the egg 8´2´´ surfboard,equipment,surfboard,541.99
https://www.tradeinn.com/h/13876/138765417/indio-the-egg-710-surfboard.jpg,indio the egg 7´10´´ surfboard,equipment,surfboard,515.49
https://www.tradeinn.com/h/13876/138765425/indio-the-egg-76-surfboard.jpg,indio the egg 7´6´´ surfboard,equipment,surfboard,504.49
https://www.tradeinn.com/h/13876/138765426/indio-the-egg-76-surfboard.jpg,indio the egg 7´6´´ surfboard,equipment,surfboard,413.99
https://www.tradeinn.com/h/13896/138967224/indio-easy-80-surfboard.jpg,indio easy 8´0´´ surfboard,equipment,surfboard,488.99
https://www.tradeinn.com/h/13896/138967211/indio-rookie-410-surfboard.jpg,indio rookie 4´10´´ surfboard,equipment,surfboard,192.99
https://www.tradeinn.com/h/13896/138967217/indio-easy-rider-70-surfboard.jpg,indio easy rider 7´0´´ surfboard,equipment,surfboard,510.49
https://www.tradeinn.com/h/13876/138765328/indio-combo-54-surfboard.jpg,indio combo 5´4´´ surfboard,equipment,surfboard,402.99
https://www.tradeinn.com/h/13876/138765407/indio-rancho-60-surfboard.jpg,indio rancho 6´0´´ surfboard,equipment,surfboard,422.49
https://www.tradeinn.com/h/13976/139767089/indio-endurance-the-egg-surfboard-82.jpg,indio endurance the egg surfboard 8´2,equipment,surfboard,574.99
https://www.tradeinn.com/h/13976/139767092/indio-mini-long-surfboard-80.jpg,indio mini long surfboard 8´0,equipment,surfboard,485.99
https://www.tradeinn.com/h/13876/138765398/indio-racer-68-surfboard.jpg,indio racer 6´8´´ surfboard,equipment,surfboard,532.99
https://www.tradeinn.com/h/13896/138967220/indio-standard-70-surfboard.jpg,indio standard 7´0´´ surfboard,equipment,surfboard,454.99
https://www.tradeinn.com/h/13896/138967221/indio-step-up-76-surfboard.jpg,indio step up 7´6´´ surfboard,equipment,surfboard,473.99
https://www.tradeinn.com/h/13876/138765311/indio-easy-going-90-surfboard.jpg,indio easy going 9´0´´ surfboard,equipment,surfboard,636.99
https://www.tradeinn.com/h/13876/138765319/indio-boom-hp-54-surfboard.jpg,indio boom hp 5´4´´ surfboard,equipment,surfboard,411.0
https://www.tradeinn.com/h/13876/138765378/indio-plus-66-surfboard.jpg,indio plus 6´6´´ surfboard,equipment,surfboard,427.99
https://www.tradeinn.com/h/13876/138765379/indio-plus-66-surfboard.jpg,indio plus 6´6´´ surfboard,equipment,surfboard,475.99
