Image,Description,Price
https://www.tradeinn.com/h/13993/139934709/adidas-avaflash-all-court-shoes.jpg,adidas Avaflash All Court Shoes,61.49 €
https://www.tradeinn.com/h/13993/139934769/adidas-courtjam-control-all-court-shoes.jpg,adidas Courtjam Control All Court Shoes,61.49 €
https://www.tradeinn.com/h/13993/139934706/adidas-avacourt-all-court-shoes.jpg,adidas Avacourt All Court Shoes,82.99 €
https://www.tradeinn.com/h/13993/139934705/adidas-avacourt-all-court-shoes.jpg,adidas Avacourt All Court Shoes,102.49 €
https://www.tradeinn.com/h/14003/140030134/asics-gel-challenger-14-padel-shoes.jpg,Asics Gel-Challenger 14 Padel Shoes,80.99 €
https://www.tradeinn.com/h/14003/140030645/asics-gel-game-9-clay-shoes.jpg,Asics Gel-Game 9 Clay Shoes,60.99 €
https://www.tradeinn.com/h/14003/140030736/asics-gel-resolution-9-padel-shoes.jpg,Asics Gel-Resolution 9 Padel Shoes,100.99 €
https://www.tradeinn.com/h/14003/140030622/asics-gel-dedicate-8-padel-shoes.jpg,Asics Gel-Dedicate 8 Padel Shoes,75.99 €
https://www.tradeinn.com/h/13884/138847573/k-swiss-hypercourt-express-2-hb-clay-shoes.jpg,K-Swiss Hypercourt Express 2 HB Clay Shoes,150.00 € 98.99 €
https://www.tradeinn.com/h/13958/139582303/k-swiss-express-light-3-hb-clay-shoes.jpg,K-Swiss Express Light 3 HB Clay Shoes,130.00 € 94.99 €
https://www.tradeinn.com/h/13948/139489258/head-sprint-pro-3.5-hard-court-shoes.jpg,Head Sprint Pro 3.5 Hard Court Shoes,105.99 €
https://www.tradeinn.com/h/13948/139489190/head-revolt-pro-4.0-clay-clay-shoes.jpg,Head Revolt Pro 4.0 Clay Clay Shoes,105.99 €
https://www.tradeinn.com/h/14027/140272478/bullpadel-flow-hybrid-fly-23i-padel-shoes.jpg,Bullpadel Flow Hybrid Fly 23i Padel Shoes,97.99 €
https://www.tradeinn.com/h/13966/139662217/bullpadel-next-pro-23v-all-court-shoes.jpg,Bullpadel Next Pro 23V All Court Shoes,79.99 €
https://www.tradeinn.com/h/14043/140434229/wilson-kaos-swift-1.5-clay-shoes.jpg,Wilson Kaos Swift 1.5 Clay Shoes,131.99 €
https://www.tradeinn.com/h/13993/139934716/adidas-barricade-all-court-shoes.jpg,adidas Barricade All Court Shoes,102.49 €
https://www.tradeinn.com/h/13941/139416262/adidas-adizero-ubersonic-4-lanzat-all-court-shoes.jpg,adidas Adizero Ubersonic 4 Lanzat All Court Shoes,150.00 € 91.49 €
https://www.tradeinn.com/h/13941/139416344/adidas-barricade-all-court-shoes.jpg,adidas Barricade All Court Shoes,150.00 € 83.99 €
https://www.tradeinn.com/h/13941/139416325/adidas-avacourt-all-court-shoes.jpg,adidas Avacourt All Court Shoes,150.00 € 83.99 €
https://www.tradeinn.com/h/13901/139011071/asics-solution-swift-ff-all-court-shoes.jpg,Asics Solution Swift FF All Court Shoes,70.49 €
https://www.tradeinn.com/h/13958/139582024/asics-solution-swift-ff-all-court-shoes.jpg,Asics Solution Swift Ff All Court Shoes,70.49 €
https://www.tradeinn.com/h/14003/140030610/asics-gel-dedicate-8-clay-shoes.jpg,Asics Gel-Dedicate 8 Clay Shoes,75.99 €
https://www.tradeinn.com/h/14003/140030650/asics-gel-game-9-padel-shoes.jpg,Asics Gel-Game 9 Padel Shoes,60.99 €
https://www.tradeinn.com/h/13947/139471066/drop-shot-caima-all-court-shoes.jpg,Drop Shot Caima All Court Shoes,54.49 €
https://www.tradeinn.com/h/14007/140077824/k-swiss-express-light-3-hb-shoes.jpg,K-Swiss Express Light 3 HB Shoes,103.99 €
https://www.tradeinn.com/h/13958/139582304/k-swiss-express-light-3-hb-clay-shoes.jpg,K-Swiss Express Light 3 HB Clay Shoes,130.00 € 84.94 €
https://www.tradeinn.com/h/13884/138847583/k-swiss-ultrashot-team-all-court-shoes.jpg,K-Swiss Ultrashot Team All Court Shoes,103.99 €
https://www.tradeinn.com/h/13940/139401288/munich-padx-all-court-shoes.jpg,Munich Padx All Court Shoes,61.99 €
https://www.tradeinn.com/h/13801/138014775/nox-at10-lux-shoes.jpg,Nox AT10 Lux Shoes,98.49 €
https://www.tradeinn.com/h/13948/139489252/head-sprint-pro-3.5-clay-clay-shoes.jpg,Head Sprint Pro 3.5 Clay Clay Shoes,105.99 €
https://www.tradeinn.com/h/13948/139489257/head-sprint-pro-3.5-hard-court-shoes.jpg,Head Sprint Pro 3.5 Hard Court Shoes,105.99 €
https://www.tradeinn.com/h/13966/139662078/bullpadel-flow-hybrid-fly-23v-all-court-shoes.jpg,Bullpadel Flow Hybrid Fly 23V All Court Shoes,98.49 €
https://www.tradeinn.com/h/13941/139416329/adidas-avacourt-clay-all-court-shoes.jpg,adidas Avacourt Clay All Court Shoes,150.00 € 83.99 €
https://www.tradeinn.com/h/13993/139934802/adidas-defiant-speed-all-court-shoes.jpg,adidas Defiant Speed All Court Shoes,81.99 €
https://www.tradeinn.com/h/13993/139934773/adidas-courtjam-control-clay-all-court-shoes.jpg,adidas Courtjam Control Clay All Court Shoes,61.49 €
https://www.tradeinn.com/h/13901/139010949/asics-pro-5-1042a200-700-gel-padel-trainers.jpg,Asics Pro 5 1042A200-700 Gel-Padel Trainers,46.99 €
https://www.tradeinn.com/h/13958/139581238/asics-gel-game-9-all-court-shoes.jpg,Asics Gel-Game 9 All Court Shoes,52.99 €
https://www.tradeinn.com/h/13957/139578552/asics-gel-pro-5-shoes.jpg,Asics Gel Pro 5 Shoes,46.99 €
https://www.tradeinn.com/h/14003/140030602/asics-gel-dedicate-8-all-court-shoes.jpg,Asics Gel-Dedicate 8 All Court Shoes,50.99 €
